"State","Year","Week","Predicted_Deaths"
"Alabama",2022,44,982.214425637685
"Alabama",2022,45,1058.34465966452
"Alabama",2022,46,1114.34584992604
"Alabama",2022,47,1078.96863958974
"Alabama",2022,48,1092.2318277792
"Alabama",2022,49,1109.42795396106
"Alabama",2022,50,1118.83787648918
"Alabama",2022,51,1152.31380821491
"Alabama",2022,52,1104.3966357296
"Alabama",2023,1,1178.79366079587
"Alabama",2023,2,1207.86983018885
"Alabama",2023,3,1218.34284363657
"Alabama",2023,4,1189.3161015242
"Alabama",2023,5,1167.93417071174
"Alabama",2023,6,1177.79902371312
"Alabama",2023,7,1159.26743560409
"Alabama",2023,8,1134.58990282281
"Alabama",2023,9,1089.07453799025
"Alabama",2023,10,1120.85239609469
"Alabama",2023,11,1149.61899792531
"Alabama",2023,12,1066.79898850032
"Alabama",2023,13,1112.79572340107
"Alabama",2023,14,1095.40519806856
"Alabama",2023,15,1091.2533706044
"Alabama",2023,16,1041.79271686393
"Alabama",2023,17,1081.26032947776
"Alabama",2023,18,1095.43009961585
"Alabama",2023,19,1052.26830695051
"Alabama",2023,20,1061.1914358743
"Alabama",2023,21,1036.62490780542
"Alabama",2023,22,1071.6818720046
"Alabama",2023,23,1085.60850837357
"Alabama",2023,24,1033.62383517889
"Alabama",2023,25,1045.96776482879
"Alabama",2023,26,998.267545990032
"Alabama",2023,27,1072.44802430448
"Alabama",2023,28,1072.74856549723
"Alabama",2023,29,1023.50946491784
"Alabama",2023,30,1026.39818617553
"Alabama",2023,31,1038.0864117625
"Alabama",2023,32,1051.1599964266
"Alabama",2023,33,1026.94637526387
"Alabama",2023,34,1002.77857608193
"Alabama",2023,35,1024.95019613767
"Alabama",2023,36,1050.589173295
"Alabama",2023,37,1033.51439350387
"Alabama",2023,38,982.484425303255
"Alabama",2023,39,1044.6732552666
"Alabama",2023,40,1016.31705393534
"Alabama",2023,41,981.755703959873
"Alabama",2023,42,1059.95545490497
"Alabama",2023,43,1045.32372498588
"Alabama",2023,44,996.2832010462
"Alabama",2023,45,1078.41256007954
"Alabama",2023,46,1129.03210250815
"Alabama",2023,47,1095.24287848855
"Alabama",2023,48,1104.3595562962
"Alabama",2023,49,1125.17281151033
"Alabama",2023,50,1134.49449589234
"Alabama",2023,51,1165.50016830407
"Alabama",2023,52,1113.26005342877
"Alaska",2020,1,87.80017580288
"Alaska",2020,2,87.5239290773645
"Alaska",2020,3,87.2872421269845
"Alaska",2020,4,87.0844498137884
"Alaska",2020,5,86.9106982730911
"Alaska",2020,6,86.7618287354894
"Alaska",2020,7,86.6342779860872
"Alaska",2020,8,86.5249930784078
"Alaska",2020,9,86.4313582616587
"Alaska",2020,10,86.3511323723405
"Alaska",2020,11,86.2823951916596
"Alaska",2020,12,86.2235014848014
"Alaska",2020,13,86.1730416219855
"Alaska",2020,14,86.1298078387643
"Alaska",2020,15,86.0927653279983
"Alaska",2020,16,86.0610274715901
"Alaska",2020,17,86.0338346191469
"Alaska",2020,18,86.0105359056332
"Alaska",2020,19,85.9905736728173
"Alaska",2020,20,85.9734701216381
"Alaska",2020,21,85.9588158760114
"Alaska",2020,22,85.9462601843519
"Alaska",2020,23,85.935502524281
"Alaska",2020,24,85.926285409578
"Alaska",2020,25,85.9183882272086
"Alaska",2020,26,85.9116219569185
"Alaska",2020,27,85.9058246470049
"Alaska",2020,28,85.9008575379783
"Alaska",2020,29,85.8966017413332
"Alaska",2020,30,85.892955393933
"Alaska",2020,31,85.8898312199014
"Alaska",2020,32,85.8871544416604
"Alaska",2020,33,85.8848609901181
"Alaska",2020,34,85.8828959711649
"Alaska",2020,35,85.881212351775
"Alaska",2020,36,85.8797698342637
"Alaska",2020,37,85.8785338917562
"Alaska",2020,38,85.8774749417817
"Alaska",2020,39,85.8765676382124
"Alaska",2020,40,85.8757902646002
"Alaska",2020,41,85.87512421439
"Alaska",2020,42,85.8745535455694
"Alaska",2020,43,85.8740645990938
"Alaska",2020,44,85.8736456719555
"Alaska",2020,45,85.8732867370699
"Alaska",2020,46,85.8729792032764
"Alaska",2020,47,85.872715709707
"Alaska",2020,48,85.8724899496034
"Alaska",2020,49,85.8722965193633
"Alaska",2020,50,85.8721307892047
"Alaska",2020,51,85.8719887923511
"Alaska",2020,52,85.8718671300864
"Alaska",2021,1,85.8717628904059
"Alaska",2021,2,85.8716735783171
"Alaska",2021,3,85.8715970561216
"Alaska",2021,4,85.8715314922492
"Alaska",2021,5,85.8714753174185
"Alaska",2021,6,85.8714271870765
"Alaska",2021,7,85.8713859492163
"Alaska",2021,8,85.8713506168034
"Alaska",2021,9,85.8713203441511
"Alaska",2021,10,85.8712944066789
"Alaska",2021,11,85.8712721835696
"Alaska",2021,12,85.8712531429096
"Alaska",2021,13,85.8712368289578
"Alaska",2021,14,85.8712228512374
"Alaska",2021,15,85.8712108751895
"Alaska",2021,16,85.8712006141657
"Alaska",2021,17,85.8711918225666
"Alaska",2021,18,85.8711842899641
"Alaska",2021,19,85.8711778360642
"Alaska",2021,20,85.8711723063919
"Alaska",2021,21,85.8711675685935
"Alaska",2021,22,85.8711635092692
"Alaska",2021,23,85.8711600312584
"Alaska",2021,24,85.8711570513144
"Alaska",2021,25,85.8711544981118
"Alaska",2021,26,85.8711523105394
"Alaska",2021,27,85.8711504362371
"Alaska",2021,28,85.8711488303434
"Alaska",2021,29,85.8711474544209
"Alaska",2021,30,85.8711462755367
"Alaska",2021,31,85.871145265474
"Alaska",2021,32,85.8711444000568
"Alaska",2021,33,85.8711436585713
"Alaska",2021,34,85.8711430232699
"Alaska",2021,35,85.8711424789464
"Alaska",2021,36,85.8711420125726
"Alaska",2021,37,85.8711416129856
"Alaska",2021,38,85.8711412706212
"Alaska",2021,39,85.871140977285
"Alaska",2021,40,85.8711407259558
"Alaska",2021,41,85.8711405106181
"Alaska",2021,42,85.8711403261177
"Alaska",2021,43,85.8711401680386
"Alaska",2021,44,85.8711400325972
"Alaska",2021,45,85.8711399165515
"Alaska",2021,46,85.8711398171242
"Alaska",2021,47,85.8711397319352
"Alaska",2021,48,85.8711396589458
"Alaska",2021,49,85.8711395964087
"Alaska",2021,50,85.8711395428272
"Alaska",2021,51,85.8711394969188
"Alaska",2021,52,85.8711394575848
"Alaska",2022,1,85.8711394238835
"Alaska",2022,2,85.8711393950084
"Alaska",2022,3,85.8711393702684
"Alaska",2022,4,85.8711393490712
"Alaska",2022,5,85.8711393309096
"Alaska",2022,6,85.8711393153488
"Alaska",2022,7,85.8711393020163
"Alaska",2022,8,85.8711392905932
"Alaska",2022,9,85.8711392808058
"Alaska",2022,10,85.8711392724201
"Alaska",2022,11,85.8711392652353
"Alaska",2022,12,85.8711392590793
"Alaska",2022,13,85.8711392538049
"Alaska",2022,14,85.8711392492859
"Alaska",2022,15,85.8711392454139
"Alaska",2022,16,85.8711392420965
"Alaska",2022,17,85.8711392392541
"Alaska",2022,18,85.8711392368188
"Alaska",2022,19,85.8711392347322
"Alaska",2022,20,85.8711392329445
"Alaska",2022,21,85.8711392314127
"Alaska",2022,22,85.8711392301003
"Alaska",2022,23,85.8711392289758
"Alaska",2022,24,85.8711392280124
"Alaska",2022,25,85.8711392271869
"Alaska",2022,26,85.8711392264797
"Alaska",2022,27,85.8711392258737
"Alaska",2022,28,85.8711392253545
"Alaska",2022,29,85.8711392249097
"Alaska",2022,30,85.8711392245285
"Alaska",2022,31,85.871139224202
"Alaska",2022,32,85.8711392239222
"Alaska",2022,33,85.8711392236824
"Alaska",2022,34,85.871139223477
"Alaska",2022,35,85.8711392233011
"Alaska",2022,36,85.8711392231503
"Alaska",2022,37,85.8711392230211
"Alaska",2022,38,85.8711392229104
"Alaska",2022,39,85.8711392228156
"Alaska",2022,40,85.8711392227343
"Alaska",2022,41,85.8711392226647
"Alaska",2022,42,85.871139222605
"Alaska",2022,43,85.8711392225539
"Alaska",2022,44,85.8711392225102
"Alaska",2022,45,85.8711392224726
"Alaska",2022,46,85.8711392224405
"Alaska",2022,47,85.871139222413
"Alaska",2022,48,85.8711392223893
"Alaska",2022,49,85.8711392223691
"Alaska",2022,50,85.8711392223518
"Alaska",2022,51,85.871139222337
"Alaska",2022,52,85.8711392223242
"Alaska",2023,1,85.8711392223133
